id,type,userid,roleid,programid,supervisorynodeid,warehouseid
ea3548db-243f-4666-880a-4dcf7d45d846,fulfillment,a337ec45-31a0-4f2b-9b2e-a105c4b669bb,e16d802b-8eb1-43f7-adf8-ef123227cb88,,,19121381-9f3d-4e77-b9e5-d3f59fc1639e
90f530b1-82c2-402b-afaa-66a4fc0b24f5,fulfillment,a337ec45-31a0-4f2b-9b2e-a105c4b669bb,e16d802b-8eb1-43f7-adf8-ef123227cb88,,,9318b2ea-9ae0-42b2-a7e1-353683f54000
8ad78ea5-aa02-4b69-bb27-400e5e1d395b,supervision,a337ec45-31a0-4f2b-9b2e-a105c4b669bb,d30a2fbb-51d9-49ad-90fe-fb405470a439,10845cb9-d365-4aaa-badd-b4fa39c6a26a,fb38bd1c-beeb-4527-8345-900900329c10,
6745e82c-99df-11e6-9f33-a24fc0d9649c,supervision,a337ec45-31a0-4f2b-9b2e-a105c4b669bb,d30a2fbb-51d9-49ad-90fe-fb405470a439,dce17f2e-af3e-40ad-8e00-3496adef44c3,fb38bd1c-beeb-4527-8345-900900329c10,
f3f85c94-386b-4496-96c7-b796f078ecb8,supervision,a337ec45-31a0-4f2b-9b2e-a105c4b669bb,d30a2fbb-51d9-49ad-90fe-fb405470a439,10845cb9-d365-4aaa-badd-b4fa39c6a26a,6d5831e7-c336-4129-bd10-0149910a72aa,
91f9ec53-6055-4b78-95cb-4e7afc600b3d,supervision,a337ec45-31a0-4f2b-9b2e-a105c4b669bb,d30a2fbb-51d9-49ad-90fe-fb405470a439,dce17f2e-af3e-40ad-8e00-3496adef44c3,6d5831e7-c336-4129-bd10-0149910a72aa,
b83b6ac1-a74e-4336-a921-0075c1b29800,supervision,a337ec45-31a0-4f2b-9b2e-a105c4b669bb,2c3e59f2-6630-4e6d-b98a-4ed427ed778d,10845cb9-d365-4aaa-badd-b4fa39c6a26a,6d5831e7-c336-4129-bd10-0149910a72aa,
97653326-1d84-4c6e-86a5-a856a183bc06,supervision,a337ec45-31a0-4f2b-9b2e-a105c4b669bb,2c3e59f2-6630-4e6d-b98a-4ed427ed778d,dce17f2e-af3e-40ad-8e00-3496adef44c3,6d5831e7-c336-4129-bd10-0149910a72aa,
881669c3-209b-4d73-b8b6-b96059e361e6,supervision,a337ec45-31a0-4f2b-9b2e-a105c4b669bb,2c3e59f2-6630-4e6d-b98a-4ed427ed778d,10845cb9-d365-4aaa-badd-b4fa39c6a26a,9f470265-0770-4dd1-bd5a-cf8fe3734d79,
a3128cf0-f7c4-4b86-8d5a-94072878279d,supervision,a337ec45-31a0-4f2b-9b2e-a105c4b669bb,2c3e59f2-6630-4e6d-b98a-4ed427ed778d,dce17f2e-af3e-40ad-8e00-3496adef44c3,9f470265-0770-4dd1-bd5a-cf8fe3734d79,
8c2ba0dd-a157-42b2-b33a-e0bb5938edf1,supervision,a337ec45-31a0-4f2b-9b2e-a105c4b669bb,b6134c01-cb37-4303-85f0-8c8eab9d3cec,10845cb9-d365-4aaa-badd-b4fa39c6a26a,,
f9c1ff2a-5856-40f9-b9a3-f1df9cf4cfc2,supervision,a337ec45-31a0-4f2b-9b2e-a105c4b669bb,b6134c01-cb37-4303-85f0-8c8eab9d3cec,dce17f2e-af3e-40ad-8e00-3496adef44c3,,
fa781b39-19ba-4d1f-a3ed-311c1e08dd25,supervision,a337ec45-31a0-4f2b-9b2e-a105c4b669bb,b6134c01-cb37-4303-85f0-8c8eab9d3cec,10845cb9-d365-4aaa-badd-b4fa39c6a26a,fb38bd1c-beeb-4527-8345-900900329c10,
c27a2a53-0956-4a64-b7fd-818528accb98,supervision,a337ec45-31a0-4f2b-9b2e-a105c4b669bb,b6134c01-cb37-4303-85f0-8c8eab9d3cec,dce17f2e-af3e-40ad-8e00-3496adef44c3,fb38bd1c-beeb-4527-8345-900900329c10,
5414a188-e0c8-4e8a-b43c-136f143b91d4,supervision,a337ec45-31a0-4f2b-9b2e-a105c4b669bb,b6134c01-cb37-4303-85f0-8c8eab9d3cec,10845cb9-d365-4aaa-badd-b4fa39c6a26a,6d5831e7-c336-4129-bd10-0149910a72aa,
6a7c9968-9e47-4318-87c7-e7bea6159c46,supervision,a337ec45-31a0-4f2b-9b2e-a105c4b669bb,b6134c01-cb37-4303-85f0-8c8eab9d3cec,dce17f2e-af3e-40ad-8e00-3496adef44c3,6d5831e7-c336-4129-bd10-0149910a72aa,
