id,active,displayorder,dosesperpatient,fullsupply,priceperpack,orderabledisplaycategoryid,orderableid,programid
6e8c237c-3396-4c41-bfcb-ffb265febf11,true,6,80,false,30.38,baeb2434-574d-4804-9640-992abbe826ef,84169aed-d624-4214-8789-d137c2b26281,10845cb9-d365-4aaa-badd-b4fa39c6a26a
730dbd5d-f5de-4887-b506-26457d5351fc,true,27,2,false,76.96,6c7768ef-6ccc-4150-a589-043a17f6cf95,956731db-092f-406c-9a06-e209d2ded4b0,10845cb9-d365-4aaa-badd-b4fa39c6a26a
7f08cbe5-3413-491a-bd19-2afd1d62bfb9,true,24,90,false,6.58,74f39ab7-b5ce-4087-a6ea-65799a35e79b,ce6db084-6df1-4a1e-b39b-a3ed450d2fbd,10845cb9-d365-4aaa-badd-b4fa39c6a26a
366ad5ed-c7a2-4a06-81f3-f91efaa5ea3c,true,12,52,false,65.36,3bfe0282-732b-4ce8-b4f9-aa7ffb297758,fdd25df0-11b1-4575-b70a-6577af5844ca,10845cb9-d365-4aaa-badd-b4fa39c6a26a
f9d5a1b3-ea2b-449a-8e12-21248b26e712,true,97,34,false,78.12,6c7768ef-6ccc-4150-a589-043a17f6cf95,da41efb1-e1e6-4a64-9bfd-c306b46c4646,10845cb9-d365-4aaa-badd-b4fa39c6a26a
d6169d1e-bf9d-432e-bb4b-8680f6399b5b,true,36,12,false,61.75,74f39ab7-b5ce-4087-a6ea-65799a35e79b,b0b7c82f-9efa-4ce7-9098-aecc92d8f28d,10845cb9-d365-4aaa-badd-b4fa39c6a26a
1f64fdb7-d253-4baf-909a-9d3889b514d0,true,10,22,false,47.82,814c51b6-91e3-45c3-af39-25e94b608d96,f306799e-52d7-40e9-83ec-015e7038ddef,10845cb9-d365-4aaa-badd-b4fa39c6a26a
b68e9181-39dd-46b9-83c5-1bf56ca0501d,true,61,13,false,80.46,6805dd74-ec00-4697-9a5d-5b78414fcaf6,9c23fe5a-9bc0-49d5-9af0-07e21169425c,10845cb9-d365-4aaa-badd-b4fa39c6a26a
8b7e7279-4998-43fa-81c8-09e3c5ce114f,true,68,52,false,84.84,74f39ab7-b5ce-4087-a6ea-65799a35e79b,dcbd8745-4ee3-4423-9729-aa338367195d,10845cb9-d365-4aaa-badd-b4fa39c6a26a
40a13583-1ddb-46ad-b018-638e55462f9a,true,23,58,false,80.15,06606981-67cc-42d1-87ed-21f22fb0ea58,34308992-0ffb-4a27-a643-e39fee1343a4,10845cb9-d365-4aaa-badd-b4fa39c6a26a
eeee980c-dc8e-46ac-b996-8a74fbd2e71c,true,92,73,false,36.44,6c7768ef-6ccc-4150-a589-043a17f6cf95,37bedeb0-0af0-4d7b-8e35-158f05b763bd,10845cb9-d365-4aaa-badd-b4fa39c6a26a
781abdcb-a956-4ae4-bc58-e71565cc0183,true,98,99,false,95.25,814c51b6-91e3-45c3-af39-25e94b608d96,afaed287-9c40-48e7-91f7-69c8f7b2bafe,10845cb9-d365-4aaa-badd-b4fa39c6a26a
026ded4e-4e17-4513-86d9-fc1d1a885c36,true,19,75,false,17.54,16173fd0-f439-4222-931e-91c413a495c3,3dffa2c2-2022-49e8-b33e-670c6ebbb2b7,10845cb9-d365-4aaa-badd-b4fa39c6a26a
a141e309-2408-468c-81ff-9e0476c602d6,true,52,47,false,73.19,6805dd74-ec00-4697-9a5d-5b78414fcaf6,e9b5667f-a140-4144-b674-8a17d611d6f5,10845cb9-d365-4aaa-badd-b4fa39c6a26a
0c240007-e541-4373-b1af-ff0ef8bb20ef,true,68,95,false,34.14,3bfe0282-732b-4ce8-b4f9-aa7ffb297758,f0296409-db55-47c5-8a87-ade0e3889cce,10845cb9-d365-4aaa-badd-b4fa39c6a26a
6ff88f6b-745f-43f4-a2b7-c9c7337763af,true,22,11,false,75.22,6805dd74-ec00-4697-9a5d-5b78414fcaf6,f1cfb6d7-21fe-42a2-8293-e1f4137e3bec,10845cb9-d365-4aaa-badd-b4fa39c6a26a
166402b3-b981-4bb7-9826-f1ddfeb554da,true,24,33,false,19.74,16173fd0-f439-4222-931e-91c413a495c3,8a099bd4-d8f0-4aba-933f-89192349e00a,10845cb9-d365-4aaa-badd-b4fa39c6a26a
9e8d4a8d-738b-43e6-855b-858c2eb541df,true,14,20,false,9.71,16173fd0-f439-4222-931e-91c413a495c3,a7a9f70a-1674-4656-b9ae-c5de09cbd41e,10845cb9-d365-4aaa-badd-b4fa39c6a26a
