id,code,name,geographicZoneId,typeId,operatedById,active,enabled,openLmisAccessible
a1f8c100-f6e6-4c8f-8356-2bca7db1c11c,Nr11lD,Tres-Zap,58d51132-de7d-49f6-ba8d-fd2b5673c3ff,663b1d34-cc17-4d60-9619-e553e45aa441,9456c3e9-c4a6-4a28-9e08-47ceb16a4121,true,true,true
8a1d3393-59dc-45d7-8803-7da9a4a9e059,YHi6c5sAAI,Zontrax,3daa08a2-69d4-40e8-8af1-e08e894f6b19,ac1d268b-ce10-455f-bf87-9c667da8f060,1074353d-7364-4618-a127-708d7303a231,true,true,true
02992d0a-f707-46b7-be69-8747d3d65400,07XMYTpQK,Tresom,3daa08a2-69d4-40e8-8af1-e08e894f6b19,ac1d268b-ce10-455f-bf87-9c667da8f060,9456c3e9-c4a6-4a28-9e08-47ceb16a4121,true,true,true
dc9a6970-f22c-47f0-b6b7-b7d83888fa9f,SonGea,Bytecard,4e471242-da63-436c-8157-ade3e615c848,ac1d268b-ce10-455f-bf87-9c667da8f060,1074353d-7364-4618-a127-708d7303a231,true,true,true
cc3aabf5-93fd-4e17-83cc-8fe069987d2d,z3NoBusBdB,Namfix,58d51132-de7d-49f6-ba8d-fd2b5673c3ff,ac1d268b-ce10-455f-bf87-9c667da8f060,9456c3e9-c4a6-4a28-9e08-47ceb16a4121,true,true,true
4ce663c5-17be-46e9-bd5e-f855315d6d46,hC5nLKbo,Voltsillam,58d51132-de7d-49f6-ba8d-fd2b5673c3ff,663b1d34-cc17-4d60-9619-e553e45aa441,1074353d-7364-4618-a127-708d7303a231,true,true,true
86f6bab1-ca49-4a6f-a7f4-bb44161db0ea,BfAilfo5OL,Vagram,58d51132-de7d-49f6-ba8d-fd2b5673c3ff,ac1d268b-ce10-455f-bf87-9c667da8f060,1074353d-7364-4618-a127-708d7303a231,true,true,true
8c613083-6687-4424-a6ce-2e8606c5bdd5,v1h2h32pJjJ,Stringtough,3daa08a2-69d4-40e8-8af1-e08e894f6b19,ac1d268b-ce10-455f-bf87-9c667da8f060,9456c3e9-c4a6-4a28-9e08-47ceb16a4121,true,true,true
32b1f37c-2d28-42d6-96a4-a3ac474be028,k8e64C,Tin,3daa08a2-69d4-40e8-8af1-e08e894f6b19,663b1d34-cc17-4d60-9619-e553e45aa441,1074353d-7364-4618-a127-708d7303a231,true,true,true
684664a4-ea6c-498c-b3d8-85cba641b8a3,cOeWjJzM,Bigtax,3daa08a2-69d4-40e8-8af1-e08e894f6b19,663b1d34-cc17-4d60-9619-e553e45aa441,9456c3e9-c4a6-4a28-9e08-47ceb16a4121,true,true,true
