id,facilityid,commoditytypeid,processingperiodid,amount
c1f0cb80-06be-4402-aaf0-3cf7890e3b20,7fc9bda8-ad8a-468d-8244-38e1918527d5,99ccf663-3304-44ae-b2e0-a67fd5511e2a,516ac930-0d28-49f5-a178-64764e22b236,9400
1c163b8a-93b3-4da0-8849-3d3412e27b47,7fc9bda8-ad8a-468d-8244-38e1918527d5,99ccf663-3304-44ae-b2e0-a67fd5511e2a,04ec3c83-a086-4792-b7a3-c46559b7f6cd,4000
98fa8488-8306-433f-b4a9-89df99abdf92,7fc9bda8-ad8a-468d-8244-38e1918527d5,99ccf663-3304-44ae-b2e0-a67fd5511e2a,61694e82-1be6-40a4-9aaa-bfbb720a0d7d,1100
1876968d-8e1b-49f3-bc09-0b3e922522fd,7fc9bda8-ad8a-468d-8244-38e1918527d5,99ccf663-3304-44ae-b2e0-a67fd5511e2a,c9287c65-67fa-4958-adb6-52069f2b1379,5300
0f09615f-e182-4860-a34e-b47a39cc8f75,7fc9bda8-ad8a-468d-8244-38e1918527d5,99ccf663-3304-44ae-b2e0-a67fd5511e2a,2d490229-02f8-4235-9be4-1443fd8f7b4f,1300
1de6fa41-8d98-4350-be86-ed2881962fd9,7fc9bda8-ad8a-468d-8244-38e1918527d5,99ccf663-3304-44ae-b2e0-a67fd5511e2a,a91dfbdf-0d9b-4cb1-9d46-0a47b17d22d0,2300
bdceaa7b-5bfe-4383-ba95-0f0bb7158ebb,7fc9bda8-ad8a-468d-8244-38e1918527d5,99ccf663-3304-44ae-b2e0-a67fd5511e2a,f55d9dda-d440-40c0-a793-914e0fe1f579,1900
c857f00c-735e-4922-8057-5a5ef7170329,7fc9bda8-ad8a-468d-8244-38e1918527d5,99ccf663-3304-44ae-b2e0-a67fd5511e2a,ecd6c3c8-f80c-4c4e-af9a-d0529b55424a,2700
8ae54945-620e-44ab-a43d-b31d119f0f9f,7fc9bda8-ad8a-468d-8244-38e1918527d5,99ccf663-3304-44ae-b2e0-a67fd5511e2a,c08e1295-793f-4550-933b-571e117f15d9,9100
e652c719-1f6a-4fd7-a27e-a2a426787499,7fc9bda8-ad8a-468d-8244-38e1918527d5,99ccf663-3304-44ae-b2e0-a67fd5511e2a,2a9fddb6-5dd3-4dde-81f3-c19629257986,5400
