id,active,displayorder,dosesperpatient,fullsupply,priceperpack,orderabledisplaycategoryid,orderableid,programid
e818d00f-db72-46c3-bb71-e4767d315cef,false,65,35,true,72.97,15b8ef1f-a5d6-42dd-95bf-bb68a4504e82,bafccad3-b106-403f-9242-f40f30ce3550,10845cb9-d365-4aaa-badd-b4fa39c6a26a
7d19cf71-a8e1-423a-8121-0b19d77626d8,true,71,23,true,24.33,6805dd74-ec00-4697-9a5d-5b78414fcaf6,1d50016e-7efd-4523-9f2a-cbf42dcfef8a,10845cb9-d365-4aaa-badd-b4fa39c6a26a
eb35ffb5-7338-4438-a801-c0ad45502ec1,true,29,30,true,68.27,16173fd0-f439-4222-931e-91c413a495c3,9d60afbf-1078-4917-9d76-d7d26d778ef3,10845cb9-d365-4aaa-badd-b4fa39c6a26a
6aa9ce5e-92c5-4f3e-a127-af4886904f6e,false,55,17,true,58.73,16173fd0-f439-4222-931e-91c413a495c3,90307acb-977d-4649-85b2-24645b688ad3,10845cb9-d365-4aaa-badd-b4fa39c6a26a
383ce364-1a3a-4ee8-b33c-d311eb46a4f6,false,83,67,true,53.44,06606981-67cc-42d1-87ed-21f22fb0ea58,f674b671-f532-4c10-a541-fab19cb1c425,10845cb9-d365-4aaa-badd-b4fa39c6a26a
33a9ca1f-afd4-47ea-bc89-73aaa7b3d98a,true,72,54,true,23.18,6c7768ef-6ccc-4150-a589-043a17f6cf95,5d465bfc-df7f-47b7-964f-da4aafdae544,10845cb9-d365-4aaa-badd-b4fa39c6a26a
3b331756-fd26-4b84-8e4e-0308abb68d3b,true,70,80,true,78.51,06606981-67cc-42d1-87ed-21f22fb0ea58,0697cbe1-c25d-42c3-a25d-a080dc419098,10845cb9-d365-4aaa-badd-b4fa39c6a26a
85ed839a-dee0-41bf-be91-e9b9ffa3ca7c,false,69,93,true,55.4,74f39ab7-b5ce-4087-a6ea-65799a35e79b,a21f1022-f71a-44e3-b749-501393c305f4,10845cb9-d365-4aaa-badd-b4fa39c6a26a
73f816bd-5a1f-4709-a15a-6b3fba739b78,false,78,56,true,12.91,814c51b6-91e3-45c3-af39-25e94b608d96,8c91dacf-4fcb-4f64-9249-7a08392ab991,10845cb9-d365-4aaa-badd-b4fa39c6a26a
e7bf89f3-1f0c-4b20-a1eb-42be47358c88,false,44,43,true,7.41,3bfe0282-732b-4ce8-b4f9-aa7ffb297758,1164e3a2-4eac-441e-aebd-27e1d6f37b87,10845cb9-d365-4aaa-badd-b4fa39c6a26a
c9246265-c61c-40bb-8e1a-baa7d53a976a,false,82,11,true,32.49,16173fd0-f439-4222-931e-91c413a495c3,bc45a9eb-148f-471a-b5fa-7ee768fab652,10845cb9-d365-4aaa-badd-b4fa39c6a26a
e875689a-15e0-4c89-8774-540ae14192e2,true,44,4,true,26.77,3bfe0282-732b-4ce8-b4f9-aa7ffb297758,f0a64c84-5fe4-47d2-907f-59b962cd971b,10845cb9-d365-4aaa-badd-b4fa39c6a26a
3e6ce899-182f-4b83-8398-29c37afee66b,false,90,9,true,27.92,6c7768ef-6ccc-4150-a589-043a17f6cf95,52b889c9-4559-4025-8293-b09abc56fbd5,10845cb9-d365-4aaa-badd-b4fa39c6a26a
0b858585-d84f-43f6-9a8d-27412e72ef90,true,32,43,true,55.89,6805dd74-ec00-4697-9a5d-5b78414fcaf6,a902be7f-85bb-44dd-b5c2-89ebd7879740,10845cb9-d365-4aaa-badd-b4fa39c6a26a
