id,code,name,geographicZoneId,typeId,operatedById,active,enabled,openLmisAccessible
49981eb8-1b1d-4269-9050-5fbcfacbb33a,G9EPHbe6LBV,Lotlux,3daa08a2-69d4-40e8-8af1-e08e894f6b19,663b1d34-cc17-4d60-9619-e553e45aa441,9456c3e9-c4a6-4a28-9e08-47ceb16a4121,false,true,false
6f992f52-26a0-46a9-b0e4-16a8454d9175,T2QgG4,Sub-Ex,3daa08a2-69d4-40e8-8af1-e08e894f6b19,ac1d268b-ce10-455f-bf87-9c667da8f060,1074353d-7364-4618-a127-708d7303a231,false,true,true
47754a12-a70a-4727-9191-e3e78d68f357,Rk4sqZ80,Subin,3daa08a2-69d4-40e8-8af1-e08e894f6b19,ac1d268b-ce10-455f-bf87-9c667da8f060,9456c3e9-c4a6-4a28-9e08-47ceb16a4121,true,true,true
e9806d1b-6a4d-4aed-bafa-cbf2b229981d,qHMGSokIA0,Biodex,3daa08a2-69d4-40e8-8af1-e08e894f6b19,ac1d268b-ce10-455f-bf87-9c667da8f060,1074353d-7364-4618-a127-708d7303a231,false,true,false
72d5d83e-8315-4e57-960a-c45a23930b9a,X5ou2kD,Zontrax,0bbd69c1-e20f-48f5-aae4-26dcd8aa7602,ac1d268b-ce10-455f-bf87-9c667da8f060,1074353d-7364-4618-a127-708d7303a231,true,false,true
57f34d42-2b20-43b4-ba5f-3104fdb69fb9,uRIIeI,Temp,58d51132-de7d-49f6-ba8d-fd2b5673c3ff,ac1d268b-ce10-455f-bf87-9c667da8f060,1074353d-7364-4618-a127-708d7303a231,false,false,false
aacc0c45-ab9f-4d34-830c-a42dc846c00b,VSRlaYS,Home Ing,0bbd69c1-e20f-48f5-aae4-26dcd8aa7602,ac1d268b-ce10-455f-bf87-9c667da8f060,9456c3e9-c4a6-4a28-9e08-47ceb16a4121,true,false,false
ed7d8adf-4c99-4378-b3fa-39b869d3559c,Mox7r36B,Cardguard,4e471242-da63-436c-8157-ade3e615c848,663b1d34-cc17-4d60-9619-e553e45aa441,1074353d-7364-4618-a127-708d7303a231,true,false,true
c53de203-8207-4217-8244-043ef3cfc29d,4dINUqd4Ojm,Asoka,3daa08a2-69d4-40e8-8af1-e08e894f6b19,ac1d268b-ce10-455f-bf87-9c667da8f060,1074353d-7364-4618-a127-708d7303a231,true,true,true
d1b6e198-1053-4cd7-bbac-1b24b0480c36,8jFpWV5LWap,Aerified,0bbd69c1-e20f-48f5-aae4-26dcd8aa7602,663b1d34-cc17-4d60-9619-e553e45aa441,1074353d-7364-4618-a127-708d7303a231,false,true,false
d457312f-06aa-4f23-ad15-6661baa764bc,U4m7WW5,Stronghold,0bbd69c1-e20f-48f5-aae4-26dcd8aa7602,663b1d34-cc17-4d60-9619-e553e45aa441,9456c3e9-c4a6-4a28-9e08-47ceb16a4121,false,true,true
2369316d-4505-4091-a881-e29937e222aa,ROlpUr,Voltsillam,58d51132-de7d-49f6-ba8d-fd2b5673c3ff,663b1d34-cc17-4d60-9619-e553e45aa441,9456c3e9-c4a6-4a28-9e08-47ceb16a4121,true,false,false
d24af1ba-78fe-4005-848c-eb6f875ce01d,17CVovv,Mat Lam Tam,4e471242-da63-436c-8157-ade3e615c848,663b1d34-cc17-4d60-9619-e553e45aa441,1074353d-7364-4618-a127-708d7303a231,false,false,true
27b38bc0-89b8-4391-8e2d-a4b953ff2b4a,G5TaAFUr,Greenlam,3daa08a2-69d4-40e8-8af1-e08e894f6b19,663b1d34-cc17-4d60-9619-e553e45aa441,9456c3e9-c4a6-4a28-9e08-47ceb16a4121,true,true,false
15ecab0e-f12f-4b7a-a232-4ebcb76fa408,qZhxQc4o5,Home Ing,0bbd69c1-e20f-48f5-aae4-26dcd8aa7602,663b1d34-cc17-4d60-9619-e553e45aa441,1074353d-7364-4618-a127-708d7303a231,false,false,true
16cdfd2d-1e52-4285-a7d2-e915c2fa24c0,jpPdwNvPZZT,Bitwolf,58d51132-de7d-49f6-ba8d-fd2b5673c3ff,ac1d268b-ce10-455f-bf87-9c667da8f060,9456c3e9-c4a6-4a28-9e08-47ceb16a4121,false,false,true
533c410e-b8d1-4b94-a6d5-d715a6d653a0,FvMMMPWO72E,Span,4e471242-da63-436c-8157-ade3e615c848,ac1d268b-ce10-455f-bf87-9c667da8f060,9456c3e9-c4a6-4a28-9e08-47ceb16a4121,false,false,false
9ad5c841-3e4d-44fb-b355-1c81c4b8740b,e8LoryTxT2,Kanlam,58d51132-de7d-49f6-ba8d-fd2b5673c3ff,ac1d268b-ce10-455f-bf87-9c667da8f060,9456c3e9-c4a6-4a28-9e08-47ceb16a4121,true,true,true
2e6fcda1-1862-4931-b8db-a54f48a63755,5sVm4K4BwF4,Holdlamis,0bbd69c1-e20f-48f5-aae4-26dcd8aa7602,ac1d268b-ce10-455f-bf87-9c667da8f060,9456c3e9-c4a6-4a28-9e08-47ceb16a4121,false,false,true
